sido_cd,sido_nm_e,sgg_cd,sgg_nm_e,단지수,평균_취약도,최대_취약도,사각지대_단지수,mc_robust_단지수,평균_고령화율,평균_접근성_취약도,사각지대_비율
51.0,Gangwon-do,51790.0,Hwacheon-gun,1,0.7382,0.7382,1,1,0.8333,0.6856,1.0
45.0,Jeollabuk-do,45800.0,Buan-gun,1,0.6298,0.6298,1,1,0.7945,0.0165,1.0
43.0,Chungcheongbuk-do,43111.0,"Sangdang-gu, Cheongju-si",1,0.5941,0.5941,1,1,0.6079,0.0692,1.0
31.0,Ulsan,31110.0,Jung-gu,1,0.5933,0.5933,0,1,0.85,0.0987,0.0
51.0,Gangwon-do,51720.0,Hongcheon-gun,1,0.5885,0.5885,1,1,0.8438,0.0806,1.0
44.0,Chungcheongnam-do,44210.0,Seosan-si,1,0.5788,0.5788,1,1,0.4361,0.174,1.0
48.0,Gyeongsangnam-do,48220.0,Tongyeong-si,1,0.5578,0.5578,1,1,0.562,0.3228,1.0
46.0,Jellanam-do,46900.0,Jindo-gun,2,0.522,0.5907,2,2,0.315,0.4405,1.0
43.0,Chungcheongbuk-do,43130.0,Chungju-si,2,0.4838,0.4964,2,2,0.4351,0.1371,1.0
47.0,Gyeongsangbuk-do,47940.0,Ulleung-gun,4,0.4834,0.5613,4,4,0.4553,0.2268,1.0
48.0,Gyeongsangnam-do,48240.0,Sacheon-si,1,0.4432,0.4432,1,1,0.5682,0.3941,1.0
51.0,Gangwon-do,51760.0,Pyeongchang-gun,1,0.4415,0.4415,1,1,0.2636,1.0,1.0
41.0,Gyeonggi-do,41410.0,Gunpo-si,3,0.4271,0.5104,2,2,0.4972,0.0455,0.6667
41.0,Gyeonggi-do,41131.0,"Sujeong-gu, Seongnam-si",1,0.4187,0.4187,1,1,0.11,0.18,1.0
41.0,Gyeonggi-do,41220.0,Pyeongtaek-si,6,0.4045,0.5588,3,3,0.5502,0.268,0.5
11.0,Seoul,11710.0,Songpa-gu,2,0.3992,0.4081,2,2,0.1818,0.0526,1.0
48.0,Gyeongsangnam-do,48840.0,Namhae-gun,2,0.3973,0.5811,0,1,0.5401,0.4247,0.0
28.0,Incheon,28720.0,Ongjin-gun,2,0.394,0.4502,2,2,0.4792,0.0936,1.0
11.0,Seoul,11560.0,Yeongdeungpo-gu,1,0.3921,0.3921,1,1,0.1111,0.0598,1.0
,,,,1,0.3866,0.3866,1,1,0.24,0.1398,1.0
26.0,Busan,26290.0,Nam-gu,1,0.3857,0.3857,0,1,0.1,0.0476,0.0
51.0,Gangwon-do,51230.0,Samcheok-si,1,0.3826,0.3826,1,1,0.5714,0.0727,1.0
11.0,Seoul,11680.0,Gangnam-gu,3,0.3815,0.4382,2,3,0.3109,0.097,0.6667
